X,Y,OBJECTID,Code,Power_Plant_Name,Utility_Name,Utility_ID,Sector_Name,City,County,State,Zip,Street_Address,PrimSource,Install_MW,Total_MW,Coal_MW,NG_MW,Crude_MW,Hydro_MW,HydroPS_MW,Nuclear_MW,Solar_MW,Wind_MW,Source_Desc,Technology_Desc,Data_Source,Period,Latitude,Longitude,Geoth_MW,Battery_MW,Others_MW,Biomass_MW
-75.5377,39.4666,45,6118,PSEG Hope Creek Generating Station,PSEG Nuclear LLC,15478,IPP Non-CHP,Hancocks Bridge,Salem,New Jersey,8038,P O Box 236 End of Buttonwood,nuclear,1290.7,1172,0,0,0,0,0,1172,0,0,Nuclear = 1172 MW,Nuclear,"EIA-860, EIA-860M and EIA-923",202001,39.4666,-75.5377,0,0,0,0
-77.3099,43.2777,46,6122,R E Ginna Nuclear Power Plant,Exelon Nuclear,55951,IPP Non-CHP,Ontario,Wayne,New York,14519,Lake Rd.,nuclear,614,582,0,0,0,0,0,582,0,0,Nuclear = 582 MW,Nuclear,"EIA-860, EIA-860M and EIA-923",202001,43.2777,-77.3099,0,0,0,0
-81.3153,34.2983,47,6127,V C Summer,"Dominion Energy South Carolina, Inc",17539,Electric Utility,Jenkinsville,Fairfield,South Carolina,29065,Bradham Boulevard off Hwy 215,nuclear,1029.6,971,0,0,0,0,0,971,0,0,Nuclear = 971 MW,Nuclear,"EIA-860, EIA-860M and EIA-923",202001,34.2983,-81.3153,0,0,0,0
-97.785515,32.298365,48,6145,Comanche Peak,Luminant Generation Company LLC,55983,IPP Non-CHP,Glen Rose,Somervell,Texas,76043,Farm to Market Road 56,nuclear,2430,2400,0,0,0,0,0,2400,0,0,Nuclear = 2400 MW,Nuclear,"EIA-860, EIA-860M and EIA-923",202001,32.298365,-97.785515,0,0,0,0
-83.0861,41.5967,49,6149,Davis Besse,FirstEnergy Nuclear Operating Company,50161,IPP Non-CHP,Oak Harbor,Ottawa,Ohio,43449,5501 N State Route 2,nuclear,925.2,894,0,0,0,0,0,894,0,0,Nuclear = 894 MW,Nuclear,"EIA-860, EIA-860M and EIA-923",202001,41.5967,-83.0861,0,0,0,0
-85.0917,35.2267,50,6152,Sequoyah,Tennessee Valley Authority,18642,Electric Utility,Soddy Daisy,Hamilton,Tennessee,37379,Sequoyah Rd. PO Box 2000,nuclear,2441,2277.7,0,0,0,0,0,2277.7,0,0,Nuclear = 2277.7 MW,Nuclear,"EIA-860, EIA-860M and EIA-923",202001,35.2267,-85.0917,0,0,0,0
-91.778841,38.758919,51,6153,Callaway,Union Electric Co - (MO),19436,Electric Utility,Fulton,Callaway,Missouri,65251,Route CC,nuclear,1235.8,1190,0,0,0,0,0,1190,0,0,Nuclear = 1190 MW,Nuclear,"EIA-860, EIA-860M and EIA-923",202001,38.758919,-91.778841,0,0,0,0
-77.7897,38.06,52,6168,North Anna,Virginia Electric & Power Co,19876,Electric Utility,Mineral,Louisa,Virginia,23117,1022 Haley Dr,nuclear,1960.4,1893,0,0,0,1,0,1892,0,0,"Hydroelectric = 1 MW, Nuclear = 1892 MW","Conventional Hydroelectric; Nuclear;","EIA-860, EIA-860M and EIA-923",202001,38.06,-77.7897,0,0,0,0
-96.0481,28.795,53,6251,South Texas Project,STP Nuclear Operating Co,21535,IPP Non-CHP,Wadsworth,Matagorda,Texas,77483,8 mi. W. of Wadsworth on FM521,nuclear,2708.6,2560,0,0,0,0,0,2560,0,0,Nuclear = 2560 MW,Nuclear,"EIA-860, EIA-860M and EIA-923",202001,28.795,-96.0481,0,0,0,0
-91.3327,30.757,54,6462,River Bend,Entergy Louisiana LLC,11241,Electric Utility,St. Francisville,West Feliciana,Louisiana,70775,5485 U.S. Highway 61,nuclear,1035.9,967.5,0,0,0,0,0,967.5,0,0,Nuclear = 967.5 MW,Nuclear,"EIA-860, EIA-860M and EIA-923",202001,30.757,-91.3327,0,0,0,0
-84.7895,35.6021,55,7722,Watts Bar Nuclear Plant,Tennessee Valley Authority,18642,Electric Utility,Spring City,Rhea,Tennessee,37381,Hwy 68 PO Box 2000,nuclear,2539.8,2245,0,0,0,0,0,2245,0,0,Nuclear = 2245 MW,Nuclear,"EIA-860, EIA-860M and EIA-923",202001,35.6021,-84.7895,0,0,0,0
-95.6408,40.3628,56,8036,Cooper Nuclear Station,Nebraska Public Power District,13337,Electric Utility,Brownville,Nemaha,Nebraska,68321,P.O. Box 98,nuclear,801,770,0,0,0,0,0,770,0,0,Nuclear = 770 MW,Nuclear,"EIA-860, EIA-860M and EIA-923",202001,40.3628,-95.6408,0,0,0,0
-93.2351,35.311,57,8055,Arkansas Nuclear One,Entergy Arkansas LLC,814,Electric Utility,Russellville,Pope,Arkansas,72801,1448 STATE RD 333,nuclear,1845,1817.8,0,0,0,0,0,1817.8,0,0,Nuclear = 1817.8 MW,Nuclear,"EIA-860, EIA-860M and EIA-923",202001,35.311,-93.2351,0,0,0,0
-73.9526,41.2706,58,8907,Indian Point 3,Entergy Nuclear Indian Point 3,6028,IPP Non-CHP,Buchanan,Westchester,New York,10511,Broadway Bleakley Avenue,nuclear,1012,1037.9,0,0,0,0,0,1037.9,0,0,Nuclear = 1037.9 MW,Nuclear,"EIA-860, EIA-860M and EIA-923",202001,41.2706,-73.9526,0,0,0,0
