X,Y,OBJECTID,Code,Power_Plant_Name,Utility_Name,Utility_ID,Sector_Name,City,County,State,Zip,Street_Address,PrimSource,Install_MW,Total_MW,Coal_MW,NG_MW,Crude_MW,Hydro_MW,HydroPS_MW,Nuclear_MW,Solar_MW,Wind_MW,Source_Desc,Technology_Desc,Data_Source,Period,Latitude,Longitude,Geoth_MW,Battery_MW,Others_MW,Biomass_MW
-73.5892,40.7264,812,52056,Nassau Energy Corp,Nassau Energy Corp,19153,IPP CHP,Garden City,Nassau,New York,11530,185 Charles Lindbergh Blvd,natural gas,55,55,0,55,0,0,0,0,0,0,Natural Gas = 55 MW,Natural Gas Fired Combined Cycle,"EIA-860, EIA-860M and EIA-923",202001,40.7264,-73.5892,0,0,0,0
-72.6733,41.7631,813,52061,Hartford Hospital Cogeneration,Hartford Steam Co,8153,Commercial CHP,Hartford,Hartford,Connecticut,6103,19 Jefferson Street,natural gas,11.8,10,0,10,0,0,0,0,0,0,Natural Gas = 10 MW,"Natural Gas Fired Combined Cycle; Other Natural Gas;","EIA-860, EIA-860M and EIA-923",202001,41.7631,-72.6733,0,0,0,0
-96.559997,28.652709,814,52069,Point Comfort Operations,Alcoa World Alumina LLC,22337,Industrial CHP,Point Comfort,Calhoun,Texas,77978,State Highway 35,natural gas,63.1,58.7,0,58.7,0,0,0,0,0,0,Natural Gas = 58.7 MW,Natural Gas Steam Turbine,"EIA-860, EIA-860M and EIA-923",202001,28.652709,-96.559997,0,0,0,0
-80.542767,37.180441,815,52072,Radford Army Ammunition Plant,U S Army-Radford,22218,Industrial Non-CHP,Radford,Montgomery,Virginia,24141,Route 114,natural gas,24,22.4,0,22.4,0,0,0,0,0,0,Natural Gas = 22.4 MW,Natural Gas Steam Turbine,"EIA-860, EIA-860M and EIA-923",202001,37.180441,-80.542767,0,0,0,0
-118.4439,34.0692,816,52073,UCLA So Campus Cogen Project,University of California-LA,19524,Commercial CHP,Los Angeles,Los Angeles,California,90095,"721 Charles E. Young Dr., S",natural gas,43,36,0,36,0,0,0,0,0,0,Natural Gas = 36 MW,Natural Gas Fired Combined Cycle,"EIA-860, EIA-860M and EIA-923",202001,34.0692,-118.4439,0,0,0,0
-119.6597,35.3161,817,52076,McKittrick Cogen,Chevron USA Inc,54713,Industrial CHP,McKittrick,Kern,California,93251,21429 Lost Hills Rd,natural gas,12,9.6,0,9.6,0,0,0,0,0,0,Natural Gas = 9.6 MW,Natural Gas Fired Combustion Turbine,"EIA-860, EIA-860M and EIA-923",202001,35.3161,-119.6597,0,0,0,0
-119.766944,35.666111,818,52077,Lost Hills Cogeneration Plant,AERA Energy LLC,164,Industrial CHP,Lost Hills,Kern,California,93251,Holloway Rd and Highway 46,natural gas,10.5,8.1,0,8.1,0,0,0,0,0,0,Natural Gas = 8.1 MW,Natural Gas Fired Combustion Turbine,"EIA-860, EIA-860M and EIA-923",202001,35.666111,-119.766944,0,0,0,0
-119.5986,35.2761,819,52078,North Midway Cogen,Chevron USA Inc,54713,Industrial CHP,McKittrick,Kern,California,93251,21429 Lost Hills Rd,natural gas,10.5,9,0,9,0,0,0,0,0,0,Natural Gas = 9 MW,Natural Gas Fired Combustion Turbine,"EIA-860, EIA-860M and EIA-923",202001,35.2761,-119.5986,0,0,0,0
-119.6592,35.3639,820,52081,Cymric 31X Cogen,Chevron USA Inc,54713,Industrial CHP,McKittrick,Kern,California,93251,21429 Lost Hills Rd,natural gas,6.8,5.4,0,5.4,0,0,0,0,0,0,Natural Gas = 5.4 MW,Natural Gas Fired Combustion Turbine,"EIA-860, EIA-860M and EIA-923",202001,35.3639,-119.6592,0,0,0,0
-119.643431,35.346102,821,52082,Cymric 6Z Cogen,Chevron USA Inc,54713,Industrial CHP,McKittrick,Kern,California,93251,21429 Lost Hills Rd,natural gas,6.8,5.4,0,5.4,0,0,0,0,0,0,Natural Gas = 5.4 MW,Natural Gas Fired Combustion Turbine,"EIA-860, EIA-860M and EIA-923",202001,35.346102,-119.643431,0,0,0,0
-120.3828,36.2097,822,52083,Coalinga 6C Cogen,Chevron USA Inc,54713,Industrial CHP,Coalinga,Fresno,California,93210,39405 South Derrick Ave,natural gas,6.8,5.4,0,5.4,0,0,0,0,0,0,Natural Gas = 5.4 MW,Natural Gas Fired Combustion Turbine,"EIA-860, EIA-860M and EIA-923",202001,36.2097,-120.3828,0,0,0,0
-119.4706,35.1133,823,52085,Taft 26C Cogen,Chevron USA Inc,54713,Industrial CHP,Taft,Kern,California,93224,26251 Highway 33,natural gas,12.4,10.8,0,10.8,0,0,0,0,0,0,Natural Gas = 10.8 MW,Natural Gas Fired Combustion Turbine,"EIA-860, EIA-860M and EIA-923",202001,35.1133,-119.4706,0,0,0,0
