X,Y,OBJECTID,Code,Power_Plant_Name,Utility_Name,Utility_ID,Sector_Name,City,County,State,Zip,Street_Address,PrimSource,Install_MW,Total_MW,Coal_MW,NG_MW,Crude_MW,Hydro_MW,HydroPS_MW,Nuclear_MW,Solar_MW,Wind_MW,Source_Desc,Technology_Desc,Data_Source,Period,Latitude,Longitude,Geoth_MW,Battery_MW,Others_MW,Biomass_MW
-95.128856,29.723185,20,50304,Shell Deer Park,Shell Oil Co-Deer Park,17139,Industrial CHP,Deer Park,Harris,Texas,77536,PO Box 100,other,271,243,0,0,0,0,0,0,0,0,Other = 243 MW,"Other Gases; All Other;","EIA-860, EIA-860M and EIA-923",202001,29.723185,-95.128856,0,0,243,0
-91.055114,30.226977,21,50341,PCS Nitrogen Fertilizer LP,PCS Nitrogen LP,15237,Industrial Non-CHP,Geismar,Iberville,Louisiana,70734,10886 Hwy 75,other,14,11.6,0,0,3.6,0,0,0,0,0,"Other = 8 MW,Petroleum = 3.6 MW","All Other; Petroleum Liquids;","EIA-860, EIA-860M and EIA-923",202001,30.226977,-91.055114,0,0,8,0
-86.79873,33.568164,22,50359,Sloss Industries Corp,Bluestone Coke LLC,62972,Industrial CHP,Birmingham,Jefferson,Alabama,35207,3500 35th Avenue North,other,25,16,0,0,0,0,0,0,0,0,Other = 16 MW,Other Gases,"EIA-860, EIA-860M and EIA-923",202001,33.568164,-86.79873,0,0,16,0
-96.8333,28.5707,23,50404,BP Chemicals Green Lake Plant,INEOS Nitriles Greenlake,54837,Industrial Non-CHP,Port Lavaca,Calhoun,Texas,77979,13050 State HWY 185,other,38.8,38.8,0,0,0,0,0,0,0,0,Other = 38.8 MW,All Other,"EIA-860, EIA-860M and EIA-923",202001,28.5707,-96.8333,0,0,38.8,0
-92.162085,46.734957,24,50424,Duluth Paper Mill,Verso Corporation,55965,Industrial CHP,Duluth,St Louis,Minnesota,55807,100 North Central Avenue,other,10.6,10.6,0,0,0,0,0,0,0,0,Other = 10.6 MW,All Other,"EIA-860, EIA-860M and EIA-923",202001,46.734957,-92.162085,0,0,10.6,0
-82.8644,30.4522,25,50474,Swift Creek Chemical Complex,White Springs Agrici Chem Inc,20558,Industrial CHP,White Springs,Hamilton,Florida,32096,15843 SE 78th St.,other,21,15.9,0,0,0,0,0,0,0,0,Other = 15.9 MW,All Other,"EIA-860, EIA-860M and EIA-923",202001,30.4522,-82.8644,0,0,15.9,0
-93.28128,30.225054,26,50487,PPG Powerhouse A,Eagle 2 US LLC,14306,Industrial Non-CHP,Lake Charles,Calcasieu,Louisiana,70602,1300 PPG Drive,other,52.5,52.5,0,0,0,0,0,0,0,0,Other = 52.5 MW,All Other,"EIA-860, EIA-860M and EIA-923",202001,30.225054,-93.28128,0,0,52.5,0
-93.280693,30.221746,27,50488,PPG Riverside,Eagle 2 US LLC,14306,Industrial Non-CHP,Lake Charles,Calcasieu,Louisiana,70602,1300 PPG Drive,other,162,103,0,0,0,0,0,0,0,0,Other = 103 MW,All Other,"EIA-860, EIA-860M and EIA-923",202001,30.221746,-93.280693,0,0,103,0
-76.779864,35.376266,28,50509,PCS Phosphate,PCS Phosphate,22175,Industrial CHP,Aurora,Beaufort,North Carolina,27806,1530 NC HWY 306 South,other,54,54,0,0,0,0,0,0,0,0,Other = 54 MW,All Other,"EIA-860, EIA-860M and EIA-923",202001,35.376266,-76.779864,0,0,54,0
-118.234722,33.791667,29,50530,Equilon Los Angeles Refining,Tesoro Refining and Marketing Company,55985,Industrial CHP,Wilmington,Los Angeles,California,90748,2101 East Pacific Coast Hwy,other,83,65,0,0,0,0,0,0,0,0,Other = 65 MW,Other Gases,"EIA-860, EIA-860M and EIA-923",202001,33.791667,-118.234722,0,0,65,0
